,target_gene_symbol,target_id,affinity,SMILES
775,HTR2C,8,8.6,CCN(C(=O)[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
776,HTR2C,8,8.05,COc1cc(I)c(cc1C[C@H](N)C)OC
777,HTR2C,8,8.5,C[C@@H](Cc1c[nH]c2c1c1CCCOc1cc2)N
778,HTR2C,8,7.0,CC(Cc1c[nH]c2c1cc(OCc1cccs1)cc2)N
779,Htr2c,8,6.6,COc1cc(Br)c(cc1CC(N)C)OC
780,HTR2C,8,6.3,Clc1cncc(n1)N1CCNCC1
781,HTR2C,8,7.9499998089999995,C[C@@H](Cn1ccc2c1cc(Cl)c(c2)F)N
782,HTR2C,8,7.7,Fc1ccc(cc1)C(=O)CC1CCN(C1)CCOc1cccc2c1OCCO2
783,HTR2C,8,8.2,C[C@@H](CN1CCc2c1cc(Br)cc2)N
784,HTR2C,8,8.849999904499999,COc1cc([125I])c(cc1CC(N)C)OC
785,HTR2C,8,7.8,FC(c1ccc(nc1Cl)N1CCNCC1)(F)F
786,HTR2C,8,8.1,COc1ccc2c(c1O[C@@H]1CNCC1)CCC2
787,HTR2C,8,6.6,N1CCN(CC1)c1ccc2c(n1)cccc2
788,HTR2C,8,5.5,COc1ccc(cc1)CC(=O)N(C1CCN(CC1)C)Cc1ccc(cc1)C
789,HTR2C,8,5.8,Fc1ccc(cc1)OCCCN1CCC2(CC1)C(=O)NCN2c1ccccc1
790,HTR2C,8,7.7,Nc1cc(N2CCN(CC2)Cc2ccccc2)c(cc1C)[N+](=O)[O-]
791,HTR2C,8,7.6,COc1cccc(c1OC)[C@@H](C1CCN(CC1)CCc1ccc(cc1)F)O
792,HTR2C,8,6.6,OC(c1ccccc1)C1CCN(CC1)CCc1ccccc1
793,HTR2C,8,8.349999905,COc1cc(OC)c(cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O)NS(=O)(=O)c1ccc(cc1)C(F)(F)F
794,HTR2C,8,6.3,Nc1nc(cc(n1)c1ccc(c2c1cccc2)F)C(C)C
795,HTR2C,8,7.85,O=C(N1CCc2c1cc1ccn(c1c2)C)Nc1cccnc1
796,HTR2C,8,7.7,O=C(N1CCc2c1cc(Cl)c(c2)C)Nc1cccc2c1cccn2
797,HTR2C,8,8.7,CSc1cc2CCN(c2cc1C(F)(F)F)C(=O)Nc1cccnc1
798,HTR2C,8,9.05,COc1cc2CCN(c2cc1C(F)(F)F)C(=O)Nc1cc(F)cc(c1)c1cccnc1
799,HTR2C,8,8.599999904499999,O=C(N1CCc2c1cc(Cl)c(c2)C)Nc1ccc(nc1)Oc1cccnc1C
800,HTR2C,8,9.0,O=C(N1CCc2c1cc(c(c2)C)C(F)(F)F)Nc1ccc(nc1)Oc1cccnc1C
801,HTR2C,8,8.1,CN1CC[C@H]2[C@@H](C1)c1cccc3c1N(C2)CC3
802,HTR2C,8,6.1999998089999995,COc1ccc2c(c1)c(CCNC(=O)C)ccc2
803,Htr2c,8,8.100000381000001,CN(CCC=C1c2ccccc2CCc2c1cccc2)C
804,Htr2c,8,8.7,Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CCNCC1
805,HTR2C,8,6.0,CNCC[C@@H](c1cccs1)Oc1cccc2c1cccc2
806,Htr2c,8,7.3,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F
807,HTR2C,8,7.9000000955,CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2
808,HTR2C,8,9.0,CN1C[C@H](C[C@H]2[C@H]1Cc1cn(c3c1c2ccc3)C)NS(=O)(=O)N(C)C
809,Htr2c,8,6.5,NCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F
810,HTR2C,8,6.9,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2
811,HTR2C,8,7.4,COc1cccc(c1)CCc1ccccc1OCC(OC(=O)CCC(=O)O)CN(C)C
812,Htr2c,8,6.550000000000001,Clc1cccc(c1)N1CCN(CC1)CCCn1nc2n(c1=O)cccc2
813,HTR2C,8,6.400000095,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F
814,HTR2C,8,,CCN(C(=O)[C@H]1CN([C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)C([3H])([3H])[3H])CC
815,HTR2C,8,5.6,O=C(Nc1snc(c1)C)Nc1ccc2c(c1)ccn2C
816,HTR2C,8,7.3499999045,C1C[C@@H]2[C@H](C1)c1c3N2CCNCc3ccc1
817,HTR2C,8,9.0,CCc1oc2c(c1)c1c(cc2)cnn1C[C@@H](N)C
818,HTR2C,8,7.0,NC(=N/N=C/c1cccc(c1)OCc1ccc(cc1)C(=O)c1ccccc1)N
819,HTR2C,8,9.0,CN1CC(CC2C1Cc1cn(c3c1c2ccc3)C)CS(=O)(=O)N(C)C
820,HTR2C,8,8.239999771,Clc1ccc2c(c1)[C@@H](C)CNCC2
821,HTR2C,8,9.0,Cc1ncn(c1)c1cccc(c1)Nc1ncnc2c1CCc1c2cccc1
822,HTR2C,8,6.389999866,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
823,HTR2C,8,7.409999847000001,CN1CCN2C(C1)c1ccccc1Cc1c2nccc1
824,HTR2C,8,6.599999905,Fc1ccc2c(c1)[nH]cc2CCNCc1cccc(c1)OCC(C(F)F)(F)F
