,target_gene_symbol,target_id,affinity,SMILES
1054,Chrm1,13,7.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
1055,CHRM1,13,7.300000000000001,CCCCCCOc1nsnc1C1=CCCN(C1)C
1056,CHRM1,13,7.829999924,CN(CCC=C1c2ccccc2CCc2c1cccc2)C
1057,CHRM1,13,4.4,CN1CCC2(CC1)CC(=C)C(O2)C
1058,CHRM1,13,5.4,CC(=O)O[C@@H]1C[NH+]2CCC1CC2
1059,CHRM1,13,4.55,CN1CCC2(CC1)CC(=C)[C@H](O2)C
1060,CHRM1,13,5.0,CC(=O)O[C@H]1C[NH+]2CCC1CC2
1061,CHRM1,13,6.2,CCCCC1CCN(CC1)CCCC(=O)c1ccccc1C
1062,Chrm1,13,5.1,O=C(Nc1cccc(c1)Cl)OCC#CC[N+](C)(C)C.[Cl-]
1063,CHRM1,13,7.4,C1CN2CCC1C(C2)c1nsnc1OCC#Cc1ccccc1
1064,CHRM1,13,9.9,C1CN2CCC1C(C2)c1nsnc1OCC#Cc1ccc(cc1)C#CCOc1nsnc1C1CN2CCC1CC2
1065,CHRM1,13,8.6,C1CN2CCC1C(C2)c1nsnc1OCC#Cc1cccc(c1)C#CCOc1nsnc1C1CN2CCC1CC2
1066,Chrm1,13,5.0,CC(=O)OCC[N+](C)(C)C
1067,CHRM1,13,6.400000095,CN1CC(=CCC1)C(=O)OCC#C
1068,CHRM1,13,5.7,COC(=O)C1=CCCN(C1)C
1069,CHRM1,13,4.0,CC(C[N+](C)(C)C)OC(=O)N
1070,Chrm1,13,3.9,NC(=O)OCC[N+](C)(C)C
1071,CHRM1,13,4.1,C[N+](Cc1ccco1)(C)C
1072,CHRM1,13,4.6,Cc1ccc(o1)C[N+](C)(C)C
1073,CHRM1,13,4.8,CO/N=C/C1=CCCN(C1)C
1074,Chrm1,13,6.0,O=C1CCCN1CC#CCN1CCCC1
1075,CHRM1,13,5.1,O=C1CCCN1CC#CC[N+](C)(C)C
1076,CHRM1,13,8.6,CCCCCSc1nsnc1C1=CCCN(C1)C
1077,CHRM1,13,5.099999905,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
1078,CHRM1,13,6.7,CO/N=C(/[C@H]1CN2CCC1CC2)C#N
1079,Chrm1,13,8.9,O=C(C(c1ccccc1)c1ccccc1)OC1CC[N+](CC1)(C)C
1080,CHRM1,13,7.449999999999999,Fc1ccc(cc1)[Si](C1CCCCC1)(CCCN1CCCCC1)O
1081,CHRM1,13,6.1999998089999995,CCN(CC1CCCCN1CC(=O)n1c2ccccc2c(=O)[nH]c2c1nccc2)CC
1082,Chrm1,13,7.65,O[Si](c1ccccc1)(C1CCCCC1)CCCN1CCCCC1
1087,CHRM1,13,9.899999618999999,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2[C@@H]3[C@H]([C@H](C1)[N+]2(C)C)O3
1088,CHRM1,13,9.849999904499999,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2[C@@H]3[C@H]([C@H](C1)[N+]2(C)C)O3
1089,CHRM1,13,10.7,O=C(C(c1ccccc1)(c1ccccc1)O)OC1CN2CCC1CC2
1090,CHRM1,13,8.8,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(C1)CCc1ccc2c(c1)CCO2
1091,CHRM1,13,9.0500001905,OCC(c1ccccc1)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C
1092,CHRM1,13,7.9000000955,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(C1)CCc1ccc2c(c1)CCO2
1093,Chrm1,13,8.0,OC(c1ccccc1)(C1CCCCC1)CCCN1CCCCC1
1094,Chrm1,13,8.6,C[N+]1(C)CCN(CC1)CC(c1ccccc1)(C1CCCCC1)O
1095,CHRM1,13,6.899999856999999,C[C@@H]1OC(=O)[C@@H]2[C@H]1[C@H](/C=C/[C@H]1CCC[C@@H](N1C)C)[C@H]1CCCC[C@@H]1C2
1096,CHRM1,13,9.3,OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C
1097,Chrm1,13,5.6,OC(C[N+](C)(C)C)CCCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O)C
1098,CHRM1,13,6.950000048,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC
1099,CHRM1,13,8.050000191,CN1CCN(CC1)CC(=O)n1c2ccccc2c(=O)[nH]c2c1nccc2
1100,CHRM1,13,9.699999809,O=C(C1c2ccccc2Oc2c1cccc2)OCC[N+](C(C)C)(C(C)C)C
1101,CHRM1,13,9.0,OC[C@H](c1ccccc1)C(=O)O[C@@H]1C[C@H]2N([C@@H](C1)[C@H]1[C@@H]2O1)C
1102,Chrm1,13,8.7,C[N+]1(C)CCN(CC1)C[Si](c1ccccc1)(C1CCCCC1)O
1103,CHRM1,13,4.4,COc1cc2c(cc1OC)N1[C@@H]3[C@@]42CC[N+]2([C@H]4C[C@@H]4[C@H]3[C@H](CC1=O)OCC=C4C2)Cc1ccccc1
1104,Chrm1,13,6.8,Clc1ccc2c(c1)NC(=c1c(=N2)cccc1)N1CCNCC1
1105,Chrm1,13,5.9,CCCCC1CCN(CC1)CCCN1C(=O)COc2c1ccc(c2)F
1106,CHRM1,13,5.8,COc1ccc2c(c1)c1c3c(=O)[nH]c(=O)c3c3c(c1n2CC(CN(C)C)O)n(C)c1c3cccc1
1107,CHRM1,13,5.1,COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
1108,CHRM1,13,6.400000095,CCCCCCOC(=O)[C@@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
1109,CHRM1,13,5.7,COC(=O)[C@@]1(OC)C[C@H]2O[C@]1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CN(C1=O)C
