,target_gene_symbol,target_id,affinity,SMILES
574,HTR2A,6,7.9,COc1cccc(c1OC)[C@@H](C1CCN(CC1)CCc1ccc(cc1)F)O
575,HTR2A,6,7.6,OC(c1ccccc1)C1CCN(CC1)CCc1ccccc1
576,Htr2a,6,6.8,COc1cc(OC)c(cc1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O)NS(=O)(=O)c1ccc(cc1)C(F)(F)F
577,HTR2A,6,6,Nc1nc(cc(n1)c1ccc(c2c1cccc2)F)C(C)C
578,HTR2A,6,5.7,O=C(N1CCc2c1cc1ccn(c1c2)C)Nc1cccnc1
579,HTR2A,6,6.8,O=C(N1CCc2c1cc(Cl)c(c2)C)Nc1cccc2c1cccn2
580,HTR2A,6,6.3,CSc1cc2CCN(c2cc1C(F)(F)F)C(=O)Nc1cccnc1
581,HTR2A,6,6.95,COc1cc2CCN(c2cc1C(F)(F)F)C(=O)Nc1cc(F)cc(c1)c1cccnc1
582,HTR2A,6,6.45,O=C(N1CCc2c1cc(Cl)c(c2)C)Nc1ccc(nc1)Oc1cccnc1C
583,HTR2A,6,6.8,O=C(N1CCc2c1cc(c(c2)C)C(F)(F)F)Nc1ccc(nc1)Oc1cccnc1C
584,HTR2A,6,6.3,CN1CC[C@H]2[C@@H](C1)c1cccc3c1N(C2)CC3
585,Htr2a,6,9.1,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(C2=O)C)c1ccccc1
586,HTR2A,6,9.15,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
587,HTR2A,6,5.4,COc1ccc2c(c1)c(CCNC(=O)C)ccc2
588,HTR2A,6,8,O=C([C@H]1CN(C)[C@H]2[C@H](C1)c1cccc3c1c(C2)cn3C(C)C)NC1CCCCC1
589,Htr2a,6,7.960000038,CN(CCC=C1c2ccccc2CCc2c1cccc2)C
590,Htr2a,6,9,Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CCNCC1
591,HTR2A,6,6.3,CNCC[C@@H](c1cccs1)Oc1cccc2c1cccc2
592,Htr2a,6,6.5,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F
593,HTR2A,6,7.5,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F
594,HTR2A,6,8.100000381,CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2
595,HTR2A,6,7.25,CN1C[C@H](C[C@H]2[C@H]1Cc1cn(c3c1c2ccc3)C)NS(=O)(=O)N(C)C
596,HTR2A,6,6.5,CCc1c(C)[nH]c2c1C(=O)C(CC2)CN1CCOCC1
597,Htr2a,6,6.2,NCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F
