,target_gene_symbol,target_id,affinity,affinity_class,SMILES
185,HTR1A,1,8.4,1,COc1ccccc1N1CCN(CC1)CCN(C(=O)c1ccc(cc1)F)c1ccccn1
186,HTR1A,1,9.8,1,NC(=O)c1c([3H])cc(c2c1C[C@H](CO2)N(C1CCC1)C1CCC1)F
187,HTR1A,1,6.2,-1,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
188,HTR1A,1,6.3,-1,N#Cc1ccc2c(c1)N(CC(CN(C)C)C)c1c(S2)cccc1
189,HTR1A,1,7.2,0,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1
190,HTR1A,1,5.75,-1,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
191,Htr1a,1,6.8,0,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C
192,HTR1A,1,5,-1,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
193,HTR1A,1,7.95,0,CSc1ccc2c(c1)C(Cc1c(S2)cccc1)N1CCN(CC1)C
194,HTR1A,1,6.8,0,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2
195,HTR1A,1,8.1,1,OC(COc1cccc2c1cc[nH]2)CNC(C)C
196,HTR1A,1,5.6,-1,O=C(c1ccc(cc1)F)CCCN1CCC(CC1)(N1CCCCC1)C(=O)N
197,HTR1A,1,7.4,0,CN1CCC(=C2c3ccsc3CCc3c2cccc3)CC1
198,HTR1A,1,5.2,-1,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(c1OC)Cl
199,HTR1A,1,9.4,1,O=C1c2ccccc2S(=O)(=O)N1CCCCNC[C@H]1CCc2c(O1)cccc2
200,HTR1A,1,6.45,-1,Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2
201,HTR1A,1,5.35,-1,Fc1ccc(cc1)C(=C1CCN(CC1)CCc1c(C)nc2n(c1=O)ccs2)c1ccc(cc1)F
202,HTR1A,1,6.5,-1,Clc1ccc2c(c1)c(cn2c1ccc(cc1)F)C1CCN(CC1)CCN1CCNC1=O
203,HTR1A,1,7.75,0,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1
204,HTR1A,1,7.1,0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1
205,HTR1A,1,8.3,1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1nsc2c1cccc2
206,HTR1A,1,7.3,0,COC(=O)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c1[nH]c1c2cccc1
207,HTR1A,1,6.5,-1,CN(CCOC1=Cc2ccccc2Sc2c1cc(Cl)cc2)C
208,HTR1A,1,7.2999999525,0,CN1CCc2c3C(C1)CCCc3ccc2Cl
209,HTR1A,1,8.4,1,Fc1ccc(cc1)C(=O)CC1CCN(C1)CCOc1cccc2c1OCCO2
210,HTR1A,1,8.6,1,CCCN([C@@H]1CCc2c(C1)c(O)ccc2F)CCC
211,HTR1A,1,,,COc1ccccc1N1CCN(CC1)CCN(C(=O)c1ccc(cc1)[18F])c1ncccn1
212,HTR1A,1,9.5,1,COc1ccccc1N1CCN(CC1)CCN(C(=O)C1CCCCC1)c1ccccn1
213,HTR1A,1,,,COc1ccccc1N1CCN(CC1)CCN([11C](=O)C1CCCCC1)c1ccccn1
214,HTR1A,1,8.6,1,Cc1cnc(nc1)CNCC1(F)CCN(CC1)C(=O)c1ccc(c(c1)Cl)F
215,HTR1A,1,8.9,1,Cc1ccc(nc1)CNCC1(F)CCN(CC1)C(=O)c1ccc(c(c1)Cl)F
216,HTR1A,1,7.21999979,0,CN[C@H]1Cc2c(CC1)[nH]c1c2cc(cc1)C(=N)O
217,HTR1A,1,6.980000019,0,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
218,HTR1A,1,7.820000172,0,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1
219,HTR1A,1,9.699999809,1,N#Cc1ccc2c(c1)c(CCCCN1CCN(CC1)c1ccc3c(c1)cc(o3)C(=O)N)c[nH]2
220,Htr1a,1,8.170000076,1,O=C1N(C[C@@H]2CCCC[C@H]2CN2CCN(CC2)c2nsc3c2cccc3)C(=O)[C@@H]2[C@H]1[C@H]1CC[C@@H]2C1
221,HTR1A,1,9,1,O=c1[nH]c2c(n1CCN1CCN(CC1)c1cccc(c1)C(F)(F)F)cccc2
222,HTR1A,1,7.21999979,0,O=C(NC1CCCc2c1cccc2)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
223,HTR1A,1,7.28000021,0,CSc1ccccc1N1CCN(CC1)CCCCCC(=O)NC1CCCc2c1cccc2
224,HTR1A,1,6.730000019,0,N#Cc1ccc(cc1)CNC(=O)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
