,target_gene_symbol,target_id,affinity,SMILES
624,HTR2B,7,5.75,CCCN1CCC[C@H]2[C@H]1Cc1cn[nH]c1C2
625,Htr2b,7,8.350000000000001,N1CCN(CC1)c1cccc2c1cccc2
626,Htr2b,7,6.8,NCCc1c[nH]c2c1cc(cc2)C(=O)N
627,HTR2B,7,8.15,NCCc1c[nH]c2c1cc(O)cc2
628,Htr2b,7,5.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
629,HTR2B,7,7.4,Clc1cccc(c1)N1CCN(CC1)CC(C(c1ccccc1)c1ccccc1)O
630,HTR2B,7,6.2,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
631,HTR2B,7,8.430000305,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
632,HTR2B,7,5.8,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
633,Htr2b,7,7.8,COc1ccc2c(c1)c(c[nH]2)C1=CCNCC1
634,HTR2B,7,5.8,COc1ccc(cc1OCCN(C)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
635,HTR2B,7,5.8,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1
636,HTR2B,7,6.9,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
637,HTR2B,7,7.3,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
638,HTR2B,7,8.9,C=CCN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C
639,HTR2B,7,8.4,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
640,HTR2B,7,8.9,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
641,HTR2B,7,8.2,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
642,HTR2B,7,5.9,c1cnc(nc1)N1CCN(CC1)Cc1ccc2c(c1)OCO2
643,HTR2B,7,7.5,Oc1ccc2c(c1)c(CCCCN1CCC(=CC1)c1ccccc1)c[nH]2
644,HTR2B,7,6.55,O=C1NCN(C21CCN(CC2)CC1COc2c(O1)cccc2)c1ccccc1
645,HTR2B,7,8.2,CCN(C(=O)N[C@@H]1CN(C)[C@H]2[C@H](C1)c1cccc3c1c(C2)c[nH]3)CC
646,HTR2B,7,7.7,CCCCCCOc1nsnc1C1=CCCN(C1)C
647,HTR2B,7,6.1,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
648,HTR2B,7,6.4,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
649,HTR2B,7,8.95,CSc1ccc2c(c1)C(Cc1c(S2)cccc1)N1CCN(CC1)C
650,HTR2B,7,5.7,OC(COc1cccc2c1cc[nH]2)CNC(C)C
651,HTR2B,7,8.95,Fc1ccc(cc1)C(=C1CCN(CC1)CCc1c(C)nc2n(c1=O)ccs2)c1ccc(cc1)F
652,HTR2B,7,6.2,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1
653,Htr2b,7,7.3,COC(=O)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c1[nH]c1c2cccc1
654,Htr2b,7,8.0,NCCc1c[nH]c2c1cc(OC)cc2
655,HTR2B,7,6.1,CN1CCN(CC1)c1nc2cc(ccc2n2c1ccc2)C(F)(F)F
656,Htr2b,7,7.1,FC(c1cccc(c1)N1CCNCC1)(F)F
657,Htr2b,7,7.0,NCCc1c[nH]c2c1cccc2
658,HTR2B,7,6.8,N#Cc1ccc2c(c1)[C@H]1CN(C[C@@H]1CO2)CCCCNC(=O)c1ccc(cc1)c1ccccc1
659,HTR2B,7,5.9,CN1CCC2(CC1)COc1c2cc2c(c1)CCN2C(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
660,HTR2B,7,8.8,O=C(OCc1ccccc1)NC[C@H]1CN(C)[C@H]2[C@H](C1)c1cccc3c1c(C2)cn3C
661,HTR2B,7,8.6999998095,CC[C@H](NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)cn3C)CO
662,HTR2B,7,8.350000143,CN1CCN2C(C1)c1ccccc1Cc1c2cccc1
