,assay_id,standard_value,standard_units,canonical_smiles,tid,pref_name,organism,affinity
0,61686,373.0,nM,Cl.COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccccc3)N2C,155,Dopamine transporter,Homo sapiens,6.428291168191312
1,61686,405.0,nM,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,155,Dopamine transporter,Homo sapiens,6.392544976785332
3,62811,470.0,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C.CN4CCC(O)(C(C4)C(=O)c5ccc(C)cc5)c6ccc(C)cc6,155,Dopamine transporter,Homo sapiens,6.327902142064283
6,62813,32.0,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C/C)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.494850021680094
7,62813,28.000000000000007,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C\C)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.552841968657781
8,62817,377.00000000000006,nM,CN1C2CCC1[C@@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)C(F)(F)F,155,Dopamine transporter,Homo sapiens,6.423658649794207
10,62817,0.99,nM,CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,9.00436480540245
12,62817,2.599999999999999,nM,CC[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.585026652029182
14,62817,3.1999999999999997,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.494850021680094
16,62817,2.8000000000000007,nM,CN1C2CCC1[C@@H](C=C)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,8.55284196865778
18,62817,19.000000000000004,nM,CN1C2CCC1[C@H](C=CCl)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,7.721246399047171
22,62817,10.500000000000002,nM,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,7.978810700930062
24,62817,525.0000000000001,nM,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@H](C2)c3ccc(Cl)cc3,155,Dopamine transporter,Homo sapiens,6.279840696594043
26,62817,350.00000000000006,nM,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc3ccccc3)N2C,155,Dopamine transporter,Homo sapiens,6.455931955649724
32,61353,12.899999999999997,nM,COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C,155,Dopamine transporter,Homo sapiens,7.889410289700751
33,61353,311.99999999999994,nM,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4,155,Dopamine transporter,Homo sapiens,6.505845405981558
34,61353,8900.0,nM,COC(=O)C1[C@@H](C[C@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.050609993355087
35,61353,21900.0,nM,COC(=O)C1[C@H](C[C@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,4.6595558851598815
37,61353,10.899999999999999,nM,COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.962573502059376
39,61353,3380.0000000000014,nM,COC(=O)[C@H]1[C@@H](CC2CC[C@H]1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.471083299722345
42,61353,1.08,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.96657624451305
43,60180,406.0000000000001,nM,COC(=O)C1C2CCC(CC1c3ccc(O)c(O)c3)N2C,155,Dopamine transporter,Homo sapiens,6.391473966422806
44,61496,1.09,nM,Cl.OC1(N2CCCN=C2c3ccccc13)c4ccc5OCOc5c4,155,Dopamine transporter,Homo sapiens,8.962573502059376
46,61511,330.0,nM,CN(CCOC(c1ccccc1)c2ccccc2)C3CCN(CCCc4ccccc4)CC3,155,Dopamine transporter,Homo sapiens,6.481486060122113
47,61511,17.999999999999993,nM,C(CN1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,7.744727494896694
49,61494,12.3,nM,OC1(N2CCN=C2c3c(F)cccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.910094888560602
51,61493,42.599999999999994,nM,OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.370590400897282
53,61511,319.99999999999994,nM,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c4ccccc4)CC2)cc1,155,Dopamine transporter,Homo sapiens,6.494850021680094
54,61503,59.000000000000014,nM,Oc1ccc(cc1)C2(O)N3CCCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,7.229147988357855
55,61511,210.0,nM,CN(CCCc1ccccc1)C2CCN(CCOC(c3ccccc3)c4ccccc4)CC2,155,Dopamine transporter,Homo sapiens,6.6777807052660805
57,61511,390.0,nM,C(CNC1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,6.4089353929735005
58,61494,4.750000000000001,nM,COc1cccc2c1C3=NCCN3C2(O)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,8.323306390375134
60,61511,500.0,nM,Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c4ccccc4)C2)cc1,155,Dopamine transporter,Homo sapiens,6.301029995663981
61,61503,30.4,nM,COc1ccc(cc1)C2(O)N3CCCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,7.517126416391246
62,61494,1260.0000000000002,nM,OC1(N2CCN=C2c3ccccc13)c4ccc5OCCOc5c4,155,Dopamine transporter,Homo sapiens,5.899629454882437
63,61494,113.0,nM,OC1(N2CCN=C2c3ccccc13)c4ccc5OCOc5c4,155,Dopamine transporter,Homo sapiens,6.94692155651658
64,61503,729.9999999999999,nM,OC1(N2CCN=C2c3ccccc13)c4ccccc4,155,Dopamine transporter,Homo sapiens,6.136677139879544
65,61494,125.0,nM,CC1(N2CCCN=C2c3ccccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,6.903089986991944
66,61494,390.0,nM,OC1(N2CCN=C2c3c(cccc13)c4ccccc4)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,6.4089353929735005
67,61511,270.0,nM,C(COC(c1ccccc1)c2ccccc2)NC3CCN(Cc4ccccc4)CC3,155,Dopamine transporter,Homo sapiens,6.568636235841013
68,61494,359.0,nM,OC1(N2CCN=C2c3ccc4OCOc4c13)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,6.444905551421681
69,61511,149.99999999999997,nM,C(CN1CCCC(CNCCOC(c2ccccc2)c3ccccc3)C1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,6.823908740944319
71,61494,110.0,nM,COc1ccc(cc1)C2(O)N3CCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,6.958607314841775
72,60180,459.99999999999994,nM,NCCc1ccc(O)c(O)c1,155,Dopamine transporter,Homo sapiens,6.337242168318426
73,61503,3.6999999999999993,nM,OC1(N2CCCN=C2c3ccccc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,8.431798275933005
75,61503,5.999999999999999,nM,OC1(N2CCN=C2c3cc(Cl)c(Cl)cc13)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,8.221848749616356
77,61494,67.1,nM,Cc1cc(C)c2c(c1)C3=NCCN3C2(O)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.1732774798310075
78,60180,1567.9999999999993,nM,COC(=O)C1C2CCC(CC1c3ccc(OC)c(OC)c3)N2C,155,Dopamine transporter,Homo sapiens,5.804653941651581
79,61511,105.0,nM,C(CNCC1CCCN(CCOC(c2ccccc2)c3ccccc3)C1)Cc4ccccc4,155,Dopamine transporter,Homo sapiens,6.978810700930062
80,61494,13.299999999999997,nM,COc1ccc2C3=NCCN3C(O)(c4ccc(Cl)cc4)c2c1,155,Dopamine transporter,Homo sapiens,7.876148359032914
82,61511,363.99999999999994,nM,Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c4ccccc4)C2)cc1,155,Dopamine transporter,Homo sapiens,6.438898616350944
83,61511,1260.0000000000002,nM,CN(CCc1ccc(F)cc1)CC2CCCN(CCOC(c3ccccc3)c4ccccc4)C2,155,Dopamine transporter,Homo sapiens,5.899629454882437
84,61494,67.1,nM,COc1cccc2C3=NCCN3C(O)(c4ccc(Cl)cc4)c12,155,Dopamine transporter,Homo sapiens,7.1732774798310075
86,61494,29.7,nM,Clc1ccc(cc1)C2N3CCN=C3c4ccccc24,155,Dopamine transporter,Homo sapiens,7.527243550682788
89,61495,2.1,nM,OC1(N2CCCN=C2c3c1ccc4ccccc34)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,8.67778070526608
90,61495,217.99999999999997,nM,OC1(N2CCN=C2c3ccc4ccccc4c13)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,6.661543506395395
91,61495,3.2999999999999994,nM,OC1(N2CCN=C2c3c1ccc4ccccc34)c5ccc6ccccc6c5,155,Dopamine transporter,Homo sapiens,8.481486060122112
92,61495,10.6,nM,OC1(N2CCN=C2c3c1ccc4ccccc34)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,7.97469413473523
93,61495,8.4,nM,OC1(N2[C@H]3CCCC[C@H]3N=C2c4ccccc14)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,8.075720713938118
94,61495,2.6999999999999997,nM,OC1(N2[C@H]3CCCC[C@@H]3N=C2c4ccccc14)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,8.568636235841012
95,61495,4.1000000000000005,nM,OC1(N2CCN=C2c3ccccc13)c4ccc5ccccc5c4,155,Dopamine transporter,Homo sapiens,8.387216143280265
97,61495,36.10000000000001,nM,OC1(N2CCN=C2c3cc4ccccc4cc13)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,7.442492798094342
98,61495,1840.9999999999995,nM,OC1(N2CCN=C2c3ccccc13)c4cccc5ccccc45,155,Dopamine transporter,Homo sapiens,5.734946211495985
99,62814,11.900000000000002,nM,Fc1ccc(cc1)C(OCCC2CCN(Cc3cc4ccccc4s3)CC2)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,7.924453038607469
100,62819,4.3,nM,Fc1ccc(cc1)C(OCCN2CCN(CCCc3ccccc3)CC2)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,8.366531544420413
101,62814,7.199999999999998,nM,Fc1ccc(cc1)C(OCCC2CCN(Cc3ccc4ccccc4c3)CC2)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,8.142667503568731
102,61357,7.099999999999999,nM,COC(=O)C1=C(CC2CCC1C2)c3ccc(Cl)c(Cl)c3,155,Dopamine transporter,Homo sapiens,8.148741651280925
103,61356,1.1999999999999997,nM,COC(=O)C1=C(CC2CCC1N2C)c3ccc(Cl)c(Cl)c3,155,Dopamine transporter,Homo sapiens,8.920818753952375
104,61356,2.8999999999999995,nM,COC(=O)C1=C(CC2CCC1N2C)c3ccc4ccccc4c3,155,Dopamine transporter,Homo sapiens,8.537602002101044
105,61357,1.0999999999999999,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)c(Cl)c3)N2C,155,Dopamine transporter,Homo sapiens,8.958607314841775
106,61508,68.0,nM,Fc1ccc(cc1)C(OCCNCCCNCCc2ccccc2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,7.167491087293763
107,61356,16000.0,nM,COC(=O)c1ccccc1c2ccc(F)cc2,155,Dopamine transporter,Homo sapiens,4.795880017344075
108,61508,9.999999999999998,nM,Fc1ccc(cc1)C(OCCN2CCN(CCc3ccccc3)CC2=O)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,8.0
110,61508,237.0,nM,CN(CCCN(C)CCOC(c1ccccc1)c2ccccc2)CCCc3ccccc3,155,Dopamine transporter,Homo sapiens,6.6252516539898965
111,61357,335.0,nM,COC(=O)C1C2CCC(C2)CC1c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,6.474955192963154
112,61357,11.0,nM,COC(=O)C1=C(CC2CCC1C2)c3ccc4ccccc4c3,155,Dopamine transporter,Homo sapiens,7.958607314841775
113,61357,12.999999999999995,nM,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c3ccc(Cl)c(Cl)c3,155,Dopamine transporter,Homo sapiens,7.886056647693163
115,61357,17.0,nM,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c3ccc4ccccc4c3,155,Dopamine transporter,Homo sapiens,7.769551078621726
116,61508,73.0,nM,Fc1ccc(cc1)C(OCCNCCCNC(=O)Cc2ccccc2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,7.136677139879544
117,61357,24.999999999999996,nM,COC(=O)[C@@H]1C2CCC(C2)CC1c3ccc4ccccc4c3,155,Dopamine transporter,Homo sapiens,7.6020599913279625
119,61356,408.00000000000006,nM,COC(=O)C1=C(CC2CCC1N2C)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,6.3893398369101195
120,61357,390.0,nM,COC(=O)C1=C(CC2CCC1C2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,6.4089353929735005
121,61508,79.99999999999999,nM,Fc1ccc(cc1)C(OCCNCCNC(=O)Cc2ccccc2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,7.096910013008056
122,61357,0.4899999999999998,nM,COC(=O)C1C2CCC(CC1c3ccc4ccccc4c3)N2C,155,Dopamine transporter,Homo sapiens,9.309803919971486
123,61357,1.0,nM,COC(=O)c1ccccc1c2ccc(cc2)c3ccc(Br)cc3,155,Dopamine transporter,Homo sapiens,9.0
124,61508,349.0,nM,CN(CCCN(C)CCc1ccccc1)CCOC(c2ccccc2)c3ccccc3,155,Dopamine transporter,Homo sapiens,6.45717457304082
125,61508,89.99999999999997,nM,Fc1ccc(cc1)C(OCCNCCNC(=O)CCc2ccccc2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,7.045757490560676
127,61356,787.0,nM,COC(=O)C1C2CCC(C2)CC1c3ccccc3,155,Dopamine transporter,Homo sapiens,6.104025267640935
128,61357,0.57,nM,COC(=O)[C@@H]1C2CCC(CC1c3ccc4ccccc4c3)N2C,155,Dopamine transporter,Homo sapiens,9.244125144327509
129,61508,119.0,nM,CN(CCOC(c1ccccc1)c2ccccc2)CCN(C)CCc3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,6.924453038607469
131,61508,830.0000000000001,nM,CN(CCOC(c1ccc(F)cc1)c2ccc(F)cc2)CCN(C)CCOC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,6.080921907623926
132,61508,47.0,nM,Fc1ccc(CC(=O)NCCNCCOC(c2ccc(F)cc2)c3ccc(F)cc3)cc1,155,Dopamine transporter,Homo sapiens,7.327902142064283
133,61357,14.000000000000004,nM,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c3ccc(Cl)c(Cl)c3,155,Dopamine transporter,Homo sapiens,7.853871964321762
134,61356,3816.0,nM,COC(=O)C1=C(CC2CCC1C2)c3ccccc3,155,Dopamine transporter,Homo sapiens,5.418391633967943
135,61508,9.999999999999998,nM,O=C1CN(CCOC(c2ccccc2)c3ccccc3)CCN1CCCc4ccccc4,155,Dopamine transporter,Homo sapiens,8.0
136,61357,144.99999999999997,nM,COC(=O)c1ccccc1c2ccc3ccccc3c2,155,Dopamine transporter,Homo sapiens,6.838631997765025
137,61357,27.0,nM,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c3ccc4ccccc4c3,155,Dopamine transporter,Homo sapiens,7.568636235841013
138,61356,99999.99999999999,nM,COC(=O)c1ccccc1c2ccccc2,155,Dopamine transporter,Homo sapiens,4.0
140,61356,99999.99999999999,nM,COC(=O)c1ccccc1C(=O)OC,155,Dopamine transporter,Homo sapiens,4.0
141,61357,42.00000000000001,nM,COC(=O)[C@@H]1C2CCC(C2)CC1c3ccc(Cl)c(Cl)c3,155,Dopamine transporter,Homo sapiens,7.376750709602099
142,61356,674.9999999999999,nM,COC(=O)c1ccccc1c2ccc(Cl)cc2,155,Dopamine transporter,Homo sapiens,6.170696227168975
144,61357,548.0000000000001,nM,COC(=O)c1ccccc1OC(=O)c2ccccc2,155,Dopamine transporter,Homo sapiens,6.261219441515631
145,61508,1380.0000000000005,nM,Fc1ccc(cc1)C(OCCN\C=C\NC(=O)CCc2ccc(Br)cc2)c3ccc(F)cc3,155,Dopamine transporter,Homo sapiens,5.860120913598763
148,61358,20300.000000000007,nM,COC(=O)[C@@H]1[C@H](CC2CCC1O2)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,4.6925039620867866
149,61358,1000.0,nM,COC(=O)C1C2CCC(CC1c3ccccc3)O2,155,Dopamine transporter,Homo sapiens,6.0
150,61358,2.34,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)c(Cl)c3)O2,155,Dopamine transporter,Homo sapiens,8.630784142589857
151,61358,8900.0,nM,COC(=O)[C@@H]1[C@@H](CC2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.050609993355087
152,61485,1.2600000000000005,nM,COC(=O)C1C2CCC(CC1c3ccc(I)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.899629454882437
155,61358,546.0,nM,COC(=O)C1C2CCC(CC1c3ccc(F)cc3)O2,155,Dopamine transporter,Homo sapiens,6.262807357295262
157,61358,8.999999999999996,nM,COC(=O)C1C2CCC(CC1c3ccc(Br)cc3)O2,155,Dopamine transporter,Homo sapiens,8.045757490560675
158,61358,1750.0000000000005,nM,COC(=O)[C@@H]1[C@H](CC2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.756961951313706
161,61358,7.000000000000002,nM,COC(=O)C1C2CCC(CC1c3ccc(I)cc3)O2,155,Dopamine transporter,Homo sapiens,8.154901959985743
162,61358,28.499999999999996,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)O2,155,Dopamine transporter,Homo sapiens,7.54515513999149
163,61507,3213.0,nM,Fc1ccc(CN2CCC(CC(=O)NC(c3ccccc3)c4ccccc4)CC2)cc1,155,Dopamine transporter,Homo sapiens,5.493089274448482
168,61358,22300.000000000004,nM,COC(=O)[C@@H]1[C@@H](CC2CCC1O2)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,4.651695136951839
169,61507,30.0,nM,Fc1ccc(CN2CCC(CCNC(c3ccccc3)c4ccccc4)CC2)cc1,155,Dopamine transporter,Homo sapiens,7.522878745280337
177,61358,10000.0,nM,COC(=O)[C@H]1[C@H](CC2CCC1O2)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,5.0
179,61485,1.4000000000000004,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)N2C,155,Dopamine transporter,Homo sapiens,8.853871964321762
180,61507,35.000000000000014,nM,Fc1ccc(cc1)C(OCCC2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.455931955649724
188,61507,37.60000000000001,nM,Fc1ccc(CN2CCC(CCOC(c3ccccc3)c4ccccc4)CC2)cc1,155,Dopamine transporter,Homo sapiens,7.424812155072339
190,61358,519.9999999999999,nM,COC(=O)[C@H]1[C@@H](CC2CCC1O2)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,6.2839966563652006
191,61507,32.99999999999999,nM,Fc1ccc(cc1)C(NCCC2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.481486060122113
193,61510,1400.9999999999995,nM,CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C,155,Dopamine transporter,Homo sapiens,5.853561864714226
194,61354,49.5,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(C)cc4,155,Dopamine transporter,Homo sapiens,7.305394801066432
195,61510,1667.0000000000002,nM,CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C,155,Dopamine transporter,Homo sapiens,5.778064400171995
197,61354,44.600000000000016,nM,CN1C2CCC1CC(C2)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.350665141287858
198,61510,871.0000000000003,nM,CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCCCCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C,155,Dopamine transporter,Homo sapiens,6.059981844992336
199,61354,1480.0,nM,CCC(O[C@H]1CC2CCC(C1C(=O)OC)N2C)c3ccccc3,155,Dopamine transporter,Homo sapiens,5.8297382846050425
200,61354,20.300000000000004,nM,COC(=O)C1C2CCC(C[C@@H]1OC(c3ccc(F)cc3)c4ccc(F)cc4)N2,155,Dopamine transporter,Homo sapiens,7.6925039620867866
201,61354,23.999999999999996,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(Br)cc4,155,Dopamine transporter,Homo sapiens,7.619788758288394
202,61354,119.0,nM,COC(=O)C1[C@H](CC2CCC1N2CCCc3ccc(I)cc3)OC(c4ccc(F)cc4)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,6.924453038607469
203,61354,6030.000000000001,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC3c4ccccc4c5ccccc35,155,Dopamine transporter,Homo sapiens,5.219682687859849
204,61510,52.20000000000001,nM,CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C,155,Dopamine transporter,Homo sapiens,7.282329496997738
205,61354,22.0,nM,COC(=O)C1[C@H](CC2CCC1N2CCCc3ccccc3)OC(c4ccc(F)cc4)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,7.657577319177793
206,61354,71.99999999999997,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccc(Br)cc3)c4ccc(Br)cc4,155,Dopamine transporter,Homo sapiens,7.142667503568732
207,61354,15.8,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.801342913045577
208,61354,389.00000000000006,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccc(Br)cc3)c4ccc(I)cc4,155,Dopamine transporter,Homo sapiens,6.410050398674292
209,61354,10.899999999999999,nM,COC(=O)C1[C@H](C[C@@H]2CCC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.962573502059376
210,61354,33.5,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccccc4,155,Dopamine transporter,Homo sapiens,7.474955192963154
211,61354,80.2,nM,COC(=O)C1[C@H](CC2CCC1N2CCCc3ccc(Br)cc3)OC(c4ccc(F)cc4)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,7.095825631715837
214,61354,99.0,nM,COC(=O)C1[C@H](CC2CCC1N2CCCCCc3ccccc3)OC(c4ccc(F)cc4)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,7.00436480540245
215,61354,55.9,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(I)cc4,155,Dopamine transporter,Homo sapiens,7.252588192113577
216,61354,240.0,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccc(C)cc3)c4ccc(C)cc4,155,Dopamine transporter,Homo sapiens,6.619788758288394
217,61354,909.0000000000001,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccc(I)cc3)c4ccc(I)cc4,155,Dopamine transporter,Homo sapiens,6.041436116778033
218,61354,13.199999999999998,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(F)cc4,155,Dopamine transporter,Homo sapiens,7.87942606879415
219,61354,223.00000000000003,nM,COC(=O)C1[C@H](CC2CCC1N2Cc3ccccc3)OC(c4ccc(F)cc4)c5ccc(F)cc5,155,Dopamine transporter,Homo sapiens,6.651695136951839
220,61354,91.39999999999999,nM,COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccc(Cl)cc3)c4ccc(Cl)cc4,155,Dopamine transporter,Homo sapiens,7.039053804266168
221,61352,33.7,nM,COC(=O)C1C2CCC(CC1c3ccc(F)cc3)N2,155,Dopamine transporter,Homo sapiens,7.4723700991286615
223,61352,1.4300000000000006,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)N2,155,Dopamine transporter,Homo sapiens,8.844663962534938
226,61352,7.93,nM,COC(=O)C1C2CCC(CC1c3cccc(Br)c3)N2C,155,Dopamine transporter,Homo sapiens,8.100726812682396
227,61352,27.8,nM,COC(=O)C1C2CCC(CC1c3cccc(I)c3)N2C,155,Dopamine transporter,Homo sapiens,7.555955204081924
232,61352,0.6599999999999999,nM,COC(=O)C1C2CCC(CC1c3ccc(Cl)c(Cl)c3)N2,155,Dopamine transporter,Homo sapiens,9.18045606445813
233,61512,0.5999999999999999,nM,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(Cl)c(C)c3)N2C,155,Dopamine transporter,Homo sapiens,9.221848749616356
234,62972,6499.999999999997,nM,CN1CCN(CC1)C2Cn3cccc3Sc4ccc(Cl)cc24,155,Dopamine transporter,Homo sapiens,5.187086643357144
235,61512,2900.0,nM,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,155,Dopamine transporter,Homo sapiens,5.5376020021010435
236,61514,373.0,nM,CCC[C@@]1(O)CN2[C@@H]3CCC2C1[C@H](C3)c4ccc(C)cc4,155,Dopamine transporter,Homo sapiens,6.428291168191312
237,61514,390.0,nM,Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2[C@](C)(O)CN34,155,Dopamine transporter,Homo sapiens,6.4089353929735005
238,61514,3320.0000000000005,nM,Fc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=O)CN34,155,Dopamine transporter,Homo sapiens,5.478861916295964
239,61514,67.0,nM,Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=C)CN34,155,Dopamine transporter,Homo sapiens,7.173925197299173
240,61514,89.00000000000001,nM,Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2[C@](O)(CN34)c5ccccc5,155,Dopamine transporter,Homo sapiens,7.050609993355087
241,61514,570.0,nM,CCCC1[C@H](C[C@H]2CC3CCN2C13)c4ccc(C)cc4,155,Dopamine transporter,Homo sapiens,6.2441251443275085
243,61514,44.0,nM,Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2[C@](O)(CN34)c5ccc(Cl)cc5,155,Dopamine transporter,Homo sapiens,7.356547323513812
244,61514,537.9999999999998,nM,Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=O)CN34,155,Dopamine transporter,Homo sapiens,6.269217724333611
